ref_area,year,studenti,scuole,region,children_6_10,_merge,proj,studenti_proj,ratio,ratio_hat,ratio_lcl,ratio_ucl,scuole_hat,scuole_lcl,scuole_ucl
,2032,,,Molise,16951.0,right_only,BSL,16951.0,,93.70677602436324,90.33333333333333,97.49107142857143,180.8940689154948,173.87233263119333,187.64944649446497
,2033,,,Molise,16735.0,right_only,BSL,16735.0,,93.70677602436324,90.33333333333333,97.49107142857143,178.58900615307684,171.65674512317977,185.25830258302585
,2034,,,Molise,16500.0,right_only,BSL,16500.0,,93.70677602436324,90.33333333333333,97.49107142857143,176.081183240261,169.24626797325763,182.6568265682657
,2035,,,Molise,16310.0,right_only,BSL,16310.0,,93.70677602436324,90.33333333333333,97.49107142857143,174.05358173628224,167.29737155417163,180.55350553505536
,2036,,,Molise,16276.0,right_only,BSL,16276.0,,93.70677602436324,90.33333333333333,97.49107142857143,173.69074778293867,166.94862166865096,180.1771217712177
,2037,,,Molise,16220.0,right_only,BSL,16220.0,,93.70677602436324,90.33333333333333,97.49107142857143,173.0931389186081,166.3742100924993,179.55719557195573
,2038,,,Molise,16147.0,right_only,BSL,16147.0,,93.70677602436324,90.33333333333333,97.49107142857143,172.31411307760573,165.6254235735873,178.7490774907749
,2039,,,Molise,16052.0,right_only,BSL,16052.0,,93.70677602436324,90.33333333333333,97.49107142857143,171.30031232561635,164.6509753640443,177.69741697416976
,2040,,,Molise,15942.0,right_only,BSL,15942.0,,93.70677602436324,90.33333333333333,97.49107142857143,170.12643777068126,163.52266691088928,176.479704797048
,2041,,,Molise,15815.0,right_only,BSL,15815.0,,93.70677602436324,90.33333333333333,97.49107142857143,168.77114623907443,162.2199835149739,175.07380073800738
,2042,,,Molise,15694.0,right_only,BSL,15694.0,,93.70677602436324,90.33333333333333,97.49107142857143,167.47988422864583,160.97884421650335,173.73431734317344
,2043,,,Molise,15578.0,right_only,BSL,15578.0,,93.70677602436324,90.33333333333333,97.49107142857143,166.24198015253248,159.78899166590347,172.45018450184503
,2044,,,Molise,15473.0,right_only,BSL,15473.0,,93.70677602436324,90.33333333333333,97.49107142857143,165.12146353191264,158.71196996061911,171.28782287822878
,2045,,,Molise,15369.0,right_only,BSL,15369.0,,93.70677602436324,90.33333333333333,97.49107142857143,164.01161849815585,157.64520560490888,170.13653136531366
,2046,,,Molise,15260.0,right_only,BSL,15260.0,,93.70677602436324,90.33333333333333,97.49107142857143,162.84841553008383,156.52715450132797,168.929889298893
,2047,,,Molise,15157.0,right_only,BSL,15157.0,,93.70677602436324,90.33333333333333,97.49107142857143,161.74924208319007,155.47064749519186,167.78966789667896
,2048,,,Molise,15051.0,right_only,BSL,15051.0,,93.70677602436324,90.33333333333333,97.49107142857143,160.61805387570718,154.38336844033336,166.61623616236164
,2049,,,Molise,14945.0,right_only,BSL,14945.0,,93.70677602436324,90.33333333333333,97.49107142857143,159.48686566822428,153.29608938547486,165.4428044280443
,2050,,,Molise,14836.0,right_only,BSL,14836.0,,93.70677602436324,90.33333333333333,97.49107142857143,158.32366270015225,152.17803828189395,164.23616236162363
,2051,,,Molise,14725.0,right_only,BSL,14725.0,,93.70677602436324,90.33333333333333,97.49107142857143,157.13911655835415,151.03947247916474,163.00738007380076
,2052,,,Molise,14603.0,right_only,BSL,14603.0,,93.70677602436324,90.33333333333333,97.49107142857143,155.83718296106252,149.78807583112007,161.6568265682657
,2053,,,Molise,14469.0,right_only,BSL,14469.0,,93.70677602436324,90.33333333333333,97.49107142857143,154.40719032141433,148.41359098818572,160.17343173431735
,2054,,,Molise,14323.0,right_only,BSL,14323.0,,93.70677602436324,90.33333333333333,97.49107142857143,152.8491386394096,146.91601795036175,158.55719557195573
,2055,,,Molise,14163.0,right_only,BSL,14163.0,,93.70677602436324,90.33333333333333,97.49107142857143,151.14168474132222,145.27484201849987,156.7859778597786
,2056,,,Molise,13992.0,right_only,BSL,13992.0,,93.70677602436324,90.33333333333333,97.49107142857143,149.31684338774133,143.52083524132246,154.8929889298893
,2057,,,Molise,13815.0,right_only,BSL,13815.0,,93.70677602436324,90.33333333333333,97.49107142857143,147.42797251298217,141.70528436670025,152.93357933579335
,2058,,,Molise,13634.0,right_only,BSL,13634.0,,93.70677602436324,90.33333333333333,97.49107142857143,145.4964152907708,139.8487040937815,150.929889298893
,2059,,,Molise,13445.0,right_only,BSL,13445.0,,93.70677602436324,90.33333333333333,97.49107142857143,143.4794853736551,137.9100650242696,148.83763837638378
,2060,,,Molise,13253.0,right_only,BSL,13253.0,,93.70677602436324,90.33333333333333,97.49107142857143,141.43054069595024,135.94065390603535,146.71217712177122
,2061,,,Molise,13061.0,right_only,BSL,13061.0,,93.70677602436324,90.33333333333333,97.49107142857143,139.3815960182454,133.9712427878011,144.5867158671587
,2062,,,Molise,12871.0,right_only,BSL,12871.0,,93.70677602436324,90.33333333333333,97.49107142857143,137.35399451426665,132.0223463687151,142.48339483394835
,2063,,,Molise,12689.0,right_only,BSL,12689.0,,93.70677602436324,90.33333333333333,97.49107142857143,135.41176570519224,130.15550874622218,140.46863468634686
,2064,,,Molise,12513.0,right_only,BSL,12513.0,,93.70677602436324,90.33333333333333,97.49107142857143,133.53356641729613,128.3502152211741,138.52029520295204
,2065,,,Molise,12346.0,right_only,BSL,12346.0,,93.70677602436324,90.33333333333333,97.49107142857143,131.75141141116742,126.63723784229325,136.67158671586716
,2066,,,Molise,12195.0,right_only,BSL,12195.0,,93.70677602436324,90.33333333333333,97.49107142857143,130.14000179484745,125.08837805659859,135.0
,2067,,,Molise,12061.0,right_only,BSL,12061.0,,93.70677602436324,90.33333333333333,97.49107142857143,128.7100091551993,123.71389321366425,133.51660516605168
